2026-09-25 04:54:49 - Step 1 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.154 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:00 - Step 540 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.380 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:00 - Step 540 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.467 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:00 - Step 540 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.326 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:00 - Step 541 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.489 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:00 - Step 541 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.449 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:00 - Step 542 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.468 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:00 - Step 542 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.472 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:00 - Step 542 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.188 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:00 - Step 543 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.487 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:00 - Step 543 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.461 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:00 - Step 544 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.492 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:00 - Step 544 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.493 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:00 - Step 544 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.013 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:01 - Step 545 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.459 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:01 - Step 545 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.481 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:01 - Step 546 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.442 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:01 - Step 546 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.407 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:01 - Step 546 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.280 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:01 - Step 547 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.311 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:01 - Step 547 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.393 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:01 - Step 548 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.496 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:01 - Step 548 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.271 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:01 - Step 548 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.296 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:02 - Step 549 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.297 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:02 - Step 549 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.238 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:02 - Step 550 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.297 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:02 - Step 550 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.371 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:02 - Step 551 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.336 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:02 - Step 551 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.437 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:02 - Step 551 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.453 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:02 - Step 552 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.256 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:03 - Step 553 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.467 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:03 - Step 553 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.016 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:03 - Step 553 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.305 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:03 - Step 554 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.467 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:03 - Step 554 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.043 | Proposed -0.225 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:03 - Step 555 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.475 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:03 - Step 556 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.445 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:04 - Step 558 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.432 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:04 - Step 559 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.045 | Proposed -0.057 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:04 - Step 560 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.356 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:05 - Step 561 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.475 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:05 - Step 562 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.377 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:05 - Step 563 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.494 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:05 - Step 563 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.229 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:05 - Step 564 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.492 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:05 - Step 564 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.495 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:06 - Step 565 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.373 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:06 - Step 565 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.482 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:06 - Step 566 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.368 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:06 - Step 566 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.393 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:06 - Step 567 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.029 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:06 - Step 567 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.477 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:06 - Step 567 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.474 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:06 - Step 568 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.461 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:06 - Step 568 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.470 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:07 - Step 569 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.374 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:07 - Step 569 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.438 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:07 - Step 570 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.473 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:07 - Step 570 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.105 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:07 - Step 570 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.375 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:07 - Step 571 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.305 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:07 - Step 571 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.412 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:07 - Step 572 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.395 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:07 - Step 572 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed 0.096 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:07 - Step 572 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.493 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:07 - Step 573 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.140 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:07 - Step 573 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.403 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:08 - Step 574 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.143 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:08 - Step 574 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.005 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:08 - Step 575 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.321 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:08 - Step 575 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.296 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:08 - Step 576 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.047 | Proposed -0.336 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:08 - Step 577 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.031 | Proposed 0.034 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:08 - Step 577 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.418 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:09 - Step 579 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.366 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:10 - Step 584 | Zone 3 | REJECTED [SOC_HIGH] | SOC 0.975 | Proposed 0.186 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:56:11 - Step 586 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.453 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:11 - Step 586 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.015 | Proposed -0.407 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:11 - Step 586 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.429 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:11 - Step 588 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.445 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:11 - Step 588 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.484 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:11 - Step 588 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.448 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:11 - Step 589 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.032 | Proposed -0.487 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:12 - Step 590 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.006 | Proposed -0.037 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:12 - Step 590 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.289 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:12 - Step 590 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.474 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:12 - Step 590 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.408 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:12 - Step 591 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.271 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:12 - Step 592 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed 0.039 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:12 - Step 592 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.424 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:12 - Step 592 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.463 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:12 - Step 592 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.462 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:12 - Step 593 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.294 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:13 - Step 594 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.365 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:13 - Step 594 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed 0.065 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:13 - Step 594 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.435 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:13 - Step 594 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.488 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:13 - Step 595 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.060 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:13 - Step 596 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.435 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:13 - Step 596 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.368 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:13 - Step 596 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.422 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:13 - Step 597 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.424 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:13 - Step 598 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.261 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:13 - Step 598 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.401 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:13 - Step 598 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.310 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:14 - Step 599 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.058 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:14 - Step 599 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.203 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:14 - Step 601 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.441 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:14 - Step 602 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.132 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:15 - Step 603 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.001 | Proposed -0.123 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:15 - Step 605 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.018 | Proposed -0.199 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:16 - Step 607 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.477 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:16 - Step 608 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.368 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:16 - Step 609 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.180 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:17 - Step 610 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.360 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:17 - Step 611 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.461 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:17 - Step 612 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.017 | Proposed -0.205 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:17 - Step 612 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.001 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:17 - Step 612 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.278 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:17 - Step 613 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.014 | Proposed -0.309 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:17 - Step 613 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.416 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:18 - Step 614 | Zone 0 | REJECTED [DEMAND_SPIKE] | SOC 0.084 | Proposed 0.169 -> Applied 0.000 | Building demand exceeded the allowed multiple of its recent average. Charging now would add to a demand spike and raise peak-demand cost.
2026-09-25 04:56:18 - Step 614 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.446 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:18 - Step 614 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.444 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:18 - Step 614 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.478 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:56:18 - Step 616 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.028 | Proposed -0.335 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
